experiment_at,model,best_val_threshold,val_pr_auc_max,val_recall_at_best_f1,test_precision,test_recall,test_f1,test_pr_auc,test_roc_auc,test_n_alerts,test_fraud_captured,test_fraud_missed
2026-09-19 15:05:09.025166,logistic_regression,0.9999,0.75,0.7659574468085106,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7311736242855421,0.9623987684520828,95,75,20
2026-09-19 15:05:09.026754,random_forest,0.3812156928213689,1.0,0.776595744680851,0.9367088607594936,0.7789473684210526,0.8505747126436781,0.8469734433179648,0.9603721400374778,79,74,21
